Customer_ID,Age_Group,Income_Level,Living_Area
CUST-QTBDQU,35-44,Low,Suburban
CUST-XGLJZB,35-44,High,Rural
CUST-JGCRVX,18-24,High,Urban
CUST-BJUYFU,18-24,Low,Suburban
CUST-KFDXIB,18-24,Medium,Rural
CUST-SPNGND,45-54,High,Urban
CUST-YQQUYZ,25-34,High,Suburban
CUST-VCNOZG,45-54,Medium,Urban
CUST-UEGKDS,25-34,High,Urban
CUST-THSYAW,18-24,Low,Suburban
CUST-RUEBNC,18-24,High,Suburban
CUST-AQOPNN,35-44,Medium,Urban
CUST-ZGTQAF,45-54,Low,Rural
CUST-CMWKPV,18-24,Low,Rural
CUST-LZVNVQ,45-54,High,Suburban
CUST-DCSOCL,45-54,Low,Urban
CUST-PRKQGZ,25-34,Medium,Urban
CUST-VJTJVC,35-44,Low,Suburban
CUST-YMRJRL,35-44,High,Rural
CUST-ATHDUR,45-54,High,Suburban
CUST-VQRRGY,18-24,High,Urban
CUST-NFAULM,18-24,High,Rural
CUST-ZWFYMS,35-44,High,Urban
CUST-UYMUEM,35-44,Medium,Suburban
CUST-MWOBDC,35-44,High,Suburban
CUST-WCPNGF,55+,High,Suburban
CUST-NIMLZA,45-54,Low,Suburban
CUST-COGGXD,45-54,Medium,Urban
CUST-QIKJDU,35-44,Low,Suburban
CUST-0LCNRL,35-44,High,Suburban
CUST-TFEJMN,18-24,Medium,Suburban
CUST-FTZKRZ,35-44,High,Suburban
CUST-XOHLVD,25-34,Medium,Urban
CUST-CAAFCG,35-44,Low,Rural
CUST-EBUYOF,35-44,Low,Urban
CUST-LXHZMJ,45-54,High,Urban
CUST-SXQGJD,35-44,Low,Urban
CUST-WKBGEE,18-24,Medium,Rural
CUST-CZNFXM,25-34,High,Suburban
CUST-QFWMFF,18-24,Medium,Urban
CUST-UAUBYI,18-24,High,Suburban
CUST-ZFTDSM,35-44,Medium,Rural
CUST-MLJRYA,35-44,Medium,Rural
CUST-ZNSMFI,55+,High,Rural
CUST-DUKUTK,25-34,High,Suburban
CUST-XDMPUD,25-34,Low,Urban
CUST-OYIYZE,45-54,High,Urban
CUST-SDHFZM,25-34,Medium,Rural
CUST-PIMZWH,55+,Low,Suburban
CUST-LFECGL,55+,Low,Rural
CUST-HCNVCE,35-44,High,Rural
CUST-HLJBYT,18-24,High,Suburban
CUST-NJT0FM,35-44,Medium,Suburban
CUST-TKOEMB,45-54,High,Rural
CUST-UXOGDS,55+,High,Rural
CUST-PXERME,45-54,Low,Urban
CUST-DPCBFN,55+,Medium,Suburban
CUST-DGYZFL,35-44,High,Rural
CUST-TGAEYN,55+,High,Rural
CUST-PLXEDI,35-44,Low,Suburban
CUST-CWKDCJ,55+,Medium,Suburban
CUST-ZJDBYL,35-44,Medium,Rural
CUST-VGFPDL,25-34,Medium,Suburban
CUST-HQBOSX,55+,High,Suburban
CUST-PGJYWE,35-44,Low,Suburban
CUST-YZVAVE,25-34,High,Suburban
CUST-ZKJDTB,18-24,High,Urban
CUST-DMNBQX,35-44,Low,Rural
CUST-WCWODX,35-44,Low,Suburban
CUST-XJQCTZ,55+,High,Urban
CUST-CQYRMJ,25-34,Medium,Suburban
CUST-NEXGPL,35-44,Low,Rural
CUST-RHXYTK,35-44,High,Suburban
CUST-HERSIB,35-44,Low,Urban
CUST-BSLHFL,45-54,Medium,Rural
CUST-QHTKHY,18-24,High,Suburban
CUST-YEDYUG,45-54,High,Suburban
