Order_ID,Customer_ID,Order_Amount,Order_Date,Order_Status,Product,Payment_Method,Quantity
CUST-JYKRWN,CUST-PXKUMZ,35,2024-01-01,Completed,Mobile Unlimited,Direct Debit,2
CUST-UKINSH,CUST-GDNVQW,70,2024-01-02,Completed,TV + Internet Bundle,Credit Card,2
CUST-FXNMBM,CUST-OXIJIF,79,2024-01-03,Completed,Fiber 1 Gbps,Credit Card,3
CUST-EXUNEH,CUST-TNVUED,85,2024-01-04,Pending,VoIP Service,PayPal,1
CUST-XVIICH,CUST-EWKIHB,132,2024-01-05,Pending,Mobile Unlimited,Direct Debit,1
CUST-IFSWZI,CUST-LHHFXX,26,2024-01-06,Cancelled,Fiber 500 Mbps,PayPal,3
CUST-QUHUSI,CUST-OSXSKT,110,2024-01-07,Cancelled,Fiber 1 Gbps,Credit Card,1
CUST-WADGCO,CUST-RKAYXK,62,2024-01-08,Completed,Mobile Unlimited,Credit Card,2
CUST-SMOHQC,CUST-FCXNTK,87,2024-01-09,Pending,Fiber 500 Mbps,Direct Debit,3
CUST-KOBCUD,CUST-JNUKMM,113,2024-01-10,Pending,Fiber 500 Mbps,PayPal,1
CUST-ZXVXMA,CUST-LVKJTS,130,2024-01-11,Cancelled,Fiber 1 Gbps,PayPal,2
CUST-DZVOLG,CUST-KFDXIB,70,2024-01-12,Pending,TV + Internet Bundle,Credit Card,3
CUST-QYQCFF,CUST-AXUZAC,32,2024-01-13,Cancelled,TV + Internet Bundle,Direct Debit,3
CUST-WRPNWU,CUST-DTXMMO,77,2024-01-14,Pending,Fiber 500 Mbps,Credit Card,3
CUST-CSZPJK,CUST-TZVJIZ,103,2024-01-15,Completed,TV + Internet Bundle,Credit Card,4
CUST-PMAGPY,CUST-XWELRG,33,2024-01-16,Pending,Fiber 1 Gbps,PayPal,2
CUST-LYQSPO,CUST-YBZPYF,115,2024-01-17,Completed,VoIP Service,Credit Card,3
CUST-SLXHSN,CUST-LNBTBO,26,2024-01-18,Pending,Mobile Unlimited,Direct Debit,2
CUST-CWSOIA,CUST-ZQNUDE,70,2024-01-19,Cancelled,Fiber 500 Mbps,PayPal,2
CUST-EYPTLG,CUST-UDZBRN,143,2024-01-20,Cancelled,VoIP Service,Credit Card,2
CUST-XXPLGI,CUST-POPCVV,83,2024-01-21,Cancelled,TV + Internet Bundle,Credit Card,4
CUST-YKKMSO,CUST-IVMZMZ,113,2024-01-22,Completed,Fiber 500 Mbps,Credit Card,1
CUST-CZRVGB,CUST-ALLCPB,115,2024-01-23,Cancelled,Fiber 1 Gbps,Credit Card,2
CUST-HEJXER,CUST-CJGEMY,99,2024-01-24,Completed,VoIP Service,Credit Card,4
CUST-TQCWOR,CUST-XSDDEV,143,2024-01-25,Cancelled,TV + Internet Bundle,Direct Debit,4
CUST-URGGYZ,CUST-TFYDJK,66,2024-01-26,Cancelled,Mobile Unlimited,Credit Card,2
CUST-VYFAEW,CUST-STTQFH,116,2024-01-27,Pending,TV + Internet Bundle,Credit Card,3
CUST-FPGOKA,CUST-TURDGX,64,2024-01-28,Cancelled,Mobile Unlimited,Direct Debit,4
CUST-DTJAUC,CUST-CGMGEH,60,2024-01-29,Completed,VoIP Service,PayPal,4
CUST-WOGCUZ,CUST-MB0ZPM,76,2024-01-30,Cancelled,VoIP Service,PayPal,1
CUST-AWVDVT,CUST-QXQMUP,83,2024-01-31,Cancelled,Fiber 1 Gbps,Direct Debit,4
CUST-QJDKHS,CUST-OCDINL,100,2024-02-01,Cancelled,Fiber 500 Mbps,Direct Debit,4
CUST-GBCKUU,CUST-ATHDUR,68,2024-02-02,Completed,Fiber 500 Mbps,Direct Debit,2
CUST-VRATJU,CUST-FYWMJW,143,2024-02-03,Cancelled,TV + Internet Bundle,PayPal,3
CUST-CKCEGT,CUST-TILJTQ,62,2024-02-04,Completed,Fiber 500 Mbps,Direct Debit,1
CUST-FZPCAH,CUST-ATGDAJ,126,2024-02-05,Pending,VoIP Service,Direct Debit,3
CUST-WPKVPH,CUST-RHAJJC,33,2024-02-06,Completed,Fiber 1 Gbps,Credit Card,1
CUST-CHTDHF,CUST-QNJYFO,148,2024-02-07,Completed,VoIP Service,Direct Debit,2
CUST-PZYYXG,CUST-YQHGMZ,98,2024-02-08,Completed,VoIP Service,Credit Card,1
CUST-OLEKGS,CUST-RHXYTK,42,2024-02-09,Pending,Mobile Unlimited,Credit Card,2
CUST-VJXIAK,CUST-KQQAJZ,84,2024-02-10,Completed,VoIP Service,Credit Card,3
CUST-EANJSG,CUST-JXCAIP,50,2024-02-11,Pending,VoIP Service,PayPal,2
CUST-FCWNXF,CUST-QXPWZY,91,2024-02-12,Completed,TV + Internet Bundle,PayPal,2
